"vehicleType",batteryVoltage,engineCoolantTemperature,engineSpeed,lateralGForce,longitudeGForce,speed,verticalGForce
"2008 BMW M3","13.835",83,3056,"0.18","-0.95",49,"-0.58"
"2013 Audi RS5","13.929",96,6596,"0.45","0.02",100,"0.71"
"2015 Porsche GT3","13.996",89,6104,"-0.02","-0.55",67,"-2.0"
"2013 Audi RS5","13.929",96,5028,"-0.03","0.02",91,"1.19"
"2014 Chevrolet Corvette","14.539",104,3904,"0.37","0.59",89,"-0.17"
"2013 Audi RS5","13.929",96,5077,"-0.02","-0.02",73,"1.21"
"2014 Chevrolet Corvette","14.539",104,3810,"0.41","0.57",86,"-0.17"
"2013 Audi RS5","13.929",96,5050,"0.17","-0.02",60,"1.17"
"2014 Chevrolet Corvette","14.539",104,3491,"0.44","-0.39",80,"-0.17"
"2013 Audi RS5","13.929",96,4290,"0.23","-0.84",44,"1.06"
"2014 Chevrolet Corvette","14.539",104,3441,"0.51","-0.76",80,"-0.17"
"2011 Ferrari 458","13.894",83,2837,"0.98","0.02",65,"-0.16"
"2011 Ford Mustang GT500","13.868",88,4693,"0.84","0.72",77,"-2.0"
"2014 Chevrolet Corvette","14.413",103,4813,"0.83","0.52",77,"-0.17"
"2008 BMW M3","13.848",83,4410,"0.17","-0.96",54,"-0.71"
"2013 Audi RS5","13.817",30,5152,"0.84","-0.89",41,"0.65"
"2015 Porsche GT3","14.215",92,5324,"-0.33","0.66",72,"-2.0"
"2013 Audi RS5","13.817",30,6000,"0.72","-0.91",44,"0.67"
"2014 Chevrolet Corvette","14.545",103,3695,"0.63","-0.46",86,"-0.17"
"2014 Chevrolet Corvette","14.556",105,4039,"0.58","1.11",65,"-0.17"
"2014 Chevrolet Corvette","14.545",103,3960,"0.66","-0.26",92,"-0.17"
"2011 Ford Mustang GT500","13.783",81,1682,"0.88","-0.21",11,"-2.0"
"2008 BMW M3","13.843",88,3639,"0.2","-0.89",42,"-0.72"
"2013 Audi RS5","13.817",30,7915,"1.09","-0.74",62,"0.58"
"2014 Chevrolet Corvette","14.545",103,4181,"0.35","0.06",96,"-0.17"
"2014 Chevrolet Corvette","14.778",105,4649,"0.61","-0.84",75,"-0.17"
"2014 Chevrolet Corvette","14.803",104,4770,"0.7","0.04",75,"-0.17"
"2013 Audi RS5","13.817",30,6605,"0.67","0.35",74,"0.56"
"2014 Chevrolet Corvette","14.545",103,3374,"-0.21","0.01",75,"-0.17"
"2011 Ferrari 458","13.628",83,1650,"0.97","0.13",8,"-0.12"
"2014 Chevrolet Corvette","14.526",102,2992,"0.17","-0.08",46,"-0.17"
"2013 Audi RS5","13.894",96,6805,"0.79","0.61",77,"0.82"
"2014 Chevrolet Corvette","14.845",104,2951,"0.67","-0.82",47,"-0.17"
"2015 Porsche GT3","13.953",91,6187,"-0.87","-0.36",92,"-2.0"
"2015 Porsche GT3","14.158",79,1444,"0.02","0.03",7,"-2.0"
"2008 BMW M3","13.857",88,4347,"0.32","-0.96",53,"-0.12"
"2014 Chevrolet Corvette","14.526",102,2758,"0.46","-0.88",29,"-0.17"
"2008 BMW M3","13.835",89,5928,"-0.13","-1.19",73,"-0.3"
"2014 Chevrolet Corvette","14.526",102,2805,"0.51","-0.86",31,"-0.17"
"2011 Ford Mustang GT500","13.667",98,3254,"0.83","-0.7",39,"-2.0"
"2014 Chevrolet Corvette","14.526",102,3001,"0.61","-0.85",33,"-0.17"
"2013 Audi RS5","13.894",96,4884,"0.53","1.09",72,"0.88"
"2008 BMW M3","13.853",84,1462,"0.19","-0.94",12,"-0.07"
"2013 Audi RS5","13.894",96,4683,"0.66","0.73",68,"0.65"
"2014 Chevrolet Corvette","14.526",102,3883,"0.71","-0.57",38,"-0.17"
"2015 Porsche GT3","13.969",91,5559,"0.34","0.31",81,"-2.0"
"2014 Chevrolet Corvette","14.549",104,3883,"0.88","-0.43",44,"-0.17"
"2013 Audi RS5","13.897",94,5084,"0.81","-0.9",73,"0.72"
"2015 Porsche GT3","14.129",90,5810,"-0.15","-0.53",67,"-2.0"
"2013 Audi RS5","13.897",94,5197,"0.71","-0.87",76,"0.69"
"2013 Audi RS5","13.862",,3850,"0.63","0.43",57,"0.87"
"2013 Audi RS5","13.897",94,5197,"0.73","-0.97",77,"0.61"
"2011 Ferrari 458","13.994",83,2762,"0.97","-0.05",62,"-0.05"
"2014 Chevrolet Corvette","14.822",104,3168,"0.62","-0.78",51,"-0.17"
"2014 Chevrolet Corvette","14.549",104,4578,"0.73","0.5",74,"-0.17"
"2013 Audi RS5","13.897",94,5796,"0.88","-0.02",87,"0.71"
"2014 Chevrolet Corvette","14.549",104,4915,"0.59","0.55",74,"-0.17"
"2013 Audi RS5","13.897",94,6046,"0.85","0.39",90,"0.96"
"2011 Ford Mustang GT500","13.712",88,3495,"1.0","-0.65",57,"-2.0"
"2011 Ferrari 458","14.089",84,2914,"0.99","-0.01",66,"-0.02"
"2014 Chevrolet Corvette","14.549",104,5181,"0.73","0.46",84,"-0.17"
"2013 Audi RS5","13.897",94,6043,"0.63","0.66",90,"0.7"
"2014 Chevrolet Corvette","14.501",106,3506,"0.5","-0.82",55,"-0.17"
"2014 Chevrolet Corvette","14.562",105,5566,"0.58","-0.04",91,"-0.17"
"2013 Audi RS5","13.894",,6276,"0.61","0.61",93,"0.64"
"2014 Chevrolet Corvette","14.562",105,3977,"0.45","0.12",91,"-0.17"
"2013 Audi RS5","13.894",,6369,"0.54","0.27",95,"0.86"
"2014 Chevrolet Corvette","14.562",105,3959,"0.47","0.49",91,"-0.17"
"2014 Chevrolet Corvette","14.471",103,3933,"0.57","0.05",91,"-0.17"
"2013 Audi RS5","13.829",96,5789,"0.85","-0.8",64,"0.58"
"2013 Audi RS5","13.894",,5401,"0.59","-0.59",78,"0.93"
"2014 Chevrolet Corvette","14.562",105,3940,"0.58","0.61",90,"-0.17"
"2013 Audi RS5","13.894",,5149,"0.68","-0.98",75,"0.64"
"2014 Chevrolet Corvette","14.562",105,3907,"0.48","0.65",90,"-0.17"
"2011 Ferrari 458","13.651",90,962,"0.97","0.0",1,"-0.05"
"2011 Ferrari 458","13.763",93,4750,"1.02","-0.28",57,"0.15"
"2011 Ferrari 458","14.066",85,4973,"1.36","0.34",73,"0.08"
"2013 Audi RS5","13.846",72,5283,"0.34","0.21",60,"1.07"
"2013 Audi RS5","13.917",1,5712,"0.75","-0.39",82,"0.55"
"2014 Chevrolet Corvette","14.561",105,3522,"0.43","0.93",80,"-0.17"
"2013 Audi RS5","13.917",1,6043,"0.87","-0.29",86,"0.65"
"2014 Chevrolet Corvette","14.561",105,3314,"0.42","0.89",80,"-0.17"
"2013 Audi RS5","13.917",1,6294,"0.81","-0.11",94,"0.62"
"2011 Ford Mustang GT500","13.71",88,4973,"0.65","0.13",82,"-2.0"
"2013 Audi RS5","13.917",1,6462,"0.5","-0.07",95,"0.68"
"2014 Chevrolet Corvette","14.561",105,2954,"0.18","-0.11",65,"-0.17"
"2013 Audi RS5","13.917",1,6229,"0.48","0.07",91,"1.05"
"2014 Chevrolet Corvette","14.561",105,3406,"0.52","-0.76",55,"-0.17"
"2014 Chevrolet Corvette","14.722",104,3628,"0.48","0.57",83,"-0.17"
"2014 Chevrolet Corvette","14.747",104,4012,"0.61","0.2",93,"-0.17"
"2013 Audi RS5","13.917",1,4577,"0.26","-0.03",65,"1.32"
"2014 Chevrolet Corvette","14.561",105,3252,"0.54","-0.88",52,"-0.17"
"2013 Audi RS5","13.917",1,4797,"0.1","-0.07",50,"1.29"
"2013 Audi RS5","13.884",95,3745,"0.29","-0.78",39,"1.11"
"2015 Porsche GT3","13.975",90,6463,"-0.19","-0.54",75,"-2.0"
"2015 Porsche GT3","14.013",90,5290,"0.65","0.49",93,"-2.0"
"2014 Chevrolet Corvette","14.667",105,3952,"0.35","0.63",90,"-0.17"
"2014 Chevrolet Corvette","14.584",104,3467,"0.68","-0.61",56,"-0.17"
"2013 Audi RS5","13.884",95,4431,"0.88","-1.0",34,"0.59"
"2015 Porsche GT3","14.141",90,5805,"0.12","-0.18",102,"-2.0"
"2013 Audi RS5","13.884",95,5103,"0.8","-1.03",41,"0.51"
"2015 Porsche GT3","13.979",90,5204,"0.77","0.47",59,"-2.0"
"2011 Ferrari 458","13.556",88,1146,"0.98","-0.07",3,"0.01"
"2015 Porsche GT3","14.001",90,4715,"-0.71","-0.62",54,"-2.0"
"2013 Audi RS5","13.884",95,7602,"0.96","-0.38",53,"0.53"
"2014 Chevrolet Corvette","14.584",104,4723,"0.45","-0.39",75,"-0.17"
"2013 Audi RS5","13.884",95,7602,"1.02","0.05",61,"0.52"
"2015 Porsche GT3","14.032",89,3987,"-0.62","-0.21",45,"-2.0"
"2014 Chevrolet Corvette","14.584",104,4003,"0.52","1.08",65,"-0.17"
"2008 BMW M3","13.896",88,4187,"-0.12","-1.01",31,"-0.25"
"2014 Chevrolet Corvette","14.536",105,4078,"0.74","1.29",65,"-0.17"
"2013 Audi RS5","13.768",6,7183,"0.87","0.18",81,"0.57"
"2014 Chevrolet Corvette","14.536",105,4134,"0.51","0.69",65,"-0.17"
"2013 Audi RS5","13.768",6,7621,"0.77","0.43",86,"0.69"
"2013 Audi RS5","14.007",96,4361,"0.79","-0.6",49,"0.46"
"2013 Audi RS5","13.768",6,6063,"1.08","0.83",90,"0.52"
"2014 Chevrolet Corvette","14.536",105,3869,"0.49","-0.79",62,"-0.17"
"2013 Audi RS5","13.768",6,6177,"0.89","0.73",92,"0.66"
"2011 Ferrari 458","14.079",84,3312,"1.05","0.1",76,"-0.01"
"2013 Audi RS5","13.768",6,6440,"0.84","0.33",96,"0.58"
"2013 Audi RS5","13.945",96,5861,"0.55","0.96",87,"0.8"
"2013 Audi RS5","13.768",6,6570,"0.61","0.05",98,"0.77"
"2014 Chevrolet Corvette","14.536",105,4156,"0.64","-0.24",68,"-0.17"
"2013 Audi RS5","13.768",6,6496,"0.6","0.09",96,"0.92"
"2011 Ferrari 458","13.835",86,1494,"1.01","0.02",22,"-0.14"
"2008 BMW M3","13.892",85,5588,"0.26","-1.14",68,"0.46"
"2014 Chevrolet Corvette","14.822",105,4531,"0.52","-0.39",72,"-0.17"
"2013 Audi RS5","13.907",31,6130,"0.55","0.86",91,"0.74"
"2014 Chevrolet Corvette","14.591",105,2898,"-0.03","-0.5",45,"-0.17"
"2011 Ferrari 458","14.041",83,3742,"0.84","0.65",45,"-0.09"
"2014 Chevrolet Corvette","14.591",105,2818,"0.34","-1.04",45,"-0.17"
"2013 Audi RS5","13.907",31,5973,"0.75","0.73",88,"0.77"
"2008 BMW M3","13.82",82,3301,"-0.09","-1.12",40,"-0.97"
"2013 Audi RS5","13.907",31,5742,"0.53","0.82",87,"0.73"
"2015 Porsche GT3","14.206",88,5828,"1.0","0.4",67,"-2.0"
"2013 Audi RS5","13.907",31,5526,"0.65","0.8",84,"0.8"
"2014 Chevrolet Corvette","14.706",104,4893,"0.43","-0.79",78,"-0.17"
"2013 Audi RS5","13.907",31,5368,"0.67","0.79",81,"0.68"
"2013 Audi RS5","13.835",93,5978,"0.66","0.82",88,"0.97"
"2013 Audi RS5","13.907",31,5098,"0.62","0.94",75,"0.88"
"2014 Chevrolet Corvette","14.591",105,4361,"0.7","-0.36",71,"-0.17"
"2011 Ferrari 458","14.036",83,3108,"0.97","-0.03",71,"-0.11"
"2013 Audi RS5","14.167",95,7038,"1.03","-0.76",55,"0.52"
"2014 Chevrolet Corvette","14.482",105,4000,"0.5","-0.32",63,"-0.17"
"2013 Audi RS5","13.958",96,6693,"0.82","0.29",96,"0.59"
"2014 Chevrolet Corvette","14.591",105,4590,"0.51","-0.87",74,"-0.17"
"2013 Audi RS5","13.826",,4299,"0.57","-0.97",46,"0.68"
"2011 Ferrari 458","14.068",84,3295,"0.46","-0.07",75,"-0.05"
"2008 BMW M3","13.858",85,4872,"0.05","-1.0",60,"-0.17"
"2014 Chevrolet Corvette","14.591",105,4669,"0.56","-0.64",75,"-0.17"
"2008 BMW M3","13.902",85,2627,"0.04","-1.0",44,"0.46"
"2013 Audi RS5","13.841",96,7256,"0.79","0.95",82,"0.53"
"2015 Porsche GT3","14.236",90,7199,"0.2","-0.1",106,"-2.0"
"2014 Chevrolet Corvette","14.586",102,3964,"0.48","1.0",63,"-0.17"
"2013 Audi RS5","13.826",,5389,"0.89","-0.31",61,"0.53"
"2014 Chevrolet Corvette","14.591",105,4071,"0.3","0.04",68,"-0.17"
"2013 Audi RS5","13.826",,5940,"0.89","-0.15",67,"0.5"
"2014 Chevrolet Corvette","14.538",104,4071,"0.29","0.13",65,"-0.17"
"2013 Audi RS5","13.836",98,6418,"0.87","-0.27",73,"0.5"
"2014 Chevrolet Corvette","14.538",104,3893,"0.39","0.56",62,"-0.17"
"2013 Audi RS5","13.836",98,6950,"0.38","-0.36",78,"0.97"
"2014 Chevrolet Corvette","14.538",104,3908,"0.47","0.92",62,"-0.17"
"2015 Porsche GT3","14.067",86,1584,"0.18","-0.03",7,"-2.0"
"2014 Chevrolet Corvette","14.813",103,4409,"0.61","1.21",71,"-0.17"
"2013 Audi RS5","13.826",,5940,"0.89","-0.15",67,"0.5"
"2014 Chevrolet Corvette","14.538",104,4021,"0.45","1.0",65,"-0.17"
"2013 Audi RS5","13.836",98,4423,"1.04","1.37",65,"0.94"
"2014 Chevrolet Corvette","14.538",104,4138,"0.6","1.09",65,"-0.17"
"2013 Audi RS5","13.836",98,4422,"0.65","0.67",65,"0.5"
"2014 Chevrolet Corvette","14.538",104,4138,"0.48","1.09",67,"-0.17"
"2014 Chevrolet Corvette","14.807",104,4193,"0.57","-0.64",67,"-0.17"
"2014 Chevrolet Corvette","14.491",103,3341,"0.55","-0.86",77,"-0.17"
"2013 Audi RS5","13.836",98,4161,"0.69","-0.81",62,"0.5"
"2011 Ferrari 458","14.046",84,3069,"0.99","0.09",70,"-0.08"
"2013 Audi RS5","13.749",97,5151,"0.7","-0.86",62,"0.57"
"2014 Chevrolet Corvette","14.501",104,4557,"0.57","0.86",73,"-0.17"
"2013 Audi RS5","13.749",97,5818,"0.81","-0.41",66,"0.46"
"2014 Chevrolet Corvette","14.501",104,4709,"0.68","0.55",76,"-0.17"
"2013 Audi RS5","13.749",97,6457,"0.68","-0.08",73,"0.53"
"2013 Audi RS5","13.779",95,5307,"0.2","-0.02",62,"0.99"
"2013 Audi RS5","13.749",97,6564,"0.33","-0.05",72,"1.08"
"2013 Audi RS5","13.92",4,6690,"0.88","0.61",76,"0.52"
"2013 Audi RS5","13.749",97,5800,"0.13","-0.05",62,"1.27"
"2014 Chevrolet Corvette","14.501",104,5270,"0.72","0.33",85,"-0.17"
"2013 Audi RS5","13.749",97,4448,"0.25","-0.69",47,"1.11"
"2014 Chevrolet Corvette","14.501",104,5671,"0.67","0.11",92,"-0.17"
"2014 Chevrolet Corvette","14.863",104,3794,"0.52","0.79",60,"-0.17"
"2015 Porsche GT3","14.255",91,4782,"0.8","0.33",83,"-2.0"
"2013 Audi RS5","13.749",97,5651,"0.46","-0.9",44,"0.71"
"2014 Chevrolet Corvette","14.45",105,4223,"0.58","0.03",98,"-0.17"
"2014 Chevrolet Corvette","14.45",105,4223,"0.54","-0.06",96,"-0.17"
"2013 Audi RS5","13.784",96,6110,"0.77","-1.02",49,"0.68"
"2014 Chevrolet Corvette","14.45",105,3981,"0.02","0.02",88,"-0.17"
"2013 Audi RS5","13.784",96,6999,"0.7","-0.48",51,"0.5"
"2014 Chevrolet Corvette","14.45",105,3238,"0.07","-0.05",73,"-0.17"
"2013 Audi RS5","13.784",96,7299,"1.17","0.03",56,"0.87"
"2014 Chevrolet Corvette","14.45",105,2341,"-0.3","-0.24",50,"-0.17"
"2013 Audi RS5","13.784",96,6014,"0.56","-0.34",67,"0.89"
"2014 Chevrolet Corvette","14.45",105,2620,"0.42","-0.98",41,"-0.17"
"2013 Audi RS5","13.878",22,6899,"0.89","0.07",78,"0.56"
"2011 Ford Mustang GT500","14.025",82,3161,"0.9","0.42",52,"-2.0"
"2011 Ferrari 458","14.013",83,2602,"1.02","-0.02",59,"-0.08"
"2014 Chevrolet Corvette","14.858",107,5488,"0.44","0.58",88,"-0.17"
"2013 Audi RS5","13.784",96,6218,"0.8","-0.75",69,"0.96"
"2014 Chevrolet Corvette","14.568",105,2666,"0.52","-0.98",42,"-0.17"
"2008 BMW M3","13.849",88,5600,"0.31","-1.1",69,"0.14"
"2011 Ferrari 458","14.025",85,2948,"0.93","0.0",67,"-0.12"
"2013 Audi RS5","13.794",95,6530,"0.77","0.03",73,"0.74"
"2014 Chevrolet Corvette","14.608",103,3685,"0.25","0.04",60,"-0.17"
"2008 BMW M3","13.826",88,6344,"-0.23","-0.96",79,"0.02"
"2014 Chevrolet Corvette","14.568",105,2860,"0.79","-0.76",46,"-0.17"
"2015 Porsche GT3","13.828",91,5527,"0.86","0.55",63,"-2.0"
"2014 Chevrolet Corvette","14.568",105,3391,"0.64","-0.72",55,"-0.17"
"2013 Audi RS5","13.794",95,5156,"0.46","0.0",57,"0.81"
"2014 Chevrolet Corvette","14.846",104,4391,"0.4","-0.04",100,"-0.17"
"2013 Audi RS5","13.794",95,4944,"0.27","0.12",54,"1.06"
"2014 Chevrolet Corvette","14.568",105,4499,"0.68","0.02",64,"-0.17"
"2013 Audi RS5","13.794",95,4375,"0.55","0.34",47,"0.82"
"2013 Audi RS5","13.979",44,4241,"0.32","-0.86",36,"0.95"
"2014 Chevrolet Corvette","14.527",103,4583,"0.59","0.22",73,"-0.17"
"2014 Chevrolet Corvette","14.57",105,4851,"0.48","0.57",78,"-0.17"
"2014 Chevrolet Corvette","14.57",105,4905,"0.44","-0.31",79,"-0.17"
"2013 Audi RS5","13.863",24,4445,"0.58","0.71",47,"0.69"
"2008 BMW M3","13.826",89,4465,"0.28","-0.77",54,"-0.3"
"2013 Audi RS5","13.863",24,4445,"0.8","0.61",50,"0.69"
"2014 Chevrolet Corvette","14.538",104,3893,"0.39","0.56",62,"-0.17"
"2011 Ford Mustang GT500","13.718",85,894,"0.89","0.11",6,"-2.0"
"2014 Chevrolet Corvette","14.57",105,4524,"0.48","0.66",74,"-0.17"
"2013 Audi RS5","13.863",24,5156,"0.58","0.81",58,"0.75"
"2015 Porsche GT3","13.991",90,5498,"-0.71","-0.5",63,"-2.0"
"2013 Audi RS5","13.863",24,5315,"0.63","0.94",60,"0.59"
"2015 Porsche GT3","13.815",89,3976,"-1.0","-0.5",32,"-2.0"
"2011 Ferrari 458","14.035",84,3038,"1.03","-0.02",69,"-0.05"
"2014 Chevrolet Corvette","14.57",105,4485,"0.57","-0.55",72,"-0.17"
"2013 Audi RS5","13.863",24,5798,"0.94","1.08",65,"0.89"
"2013 Audi RS5","13.863",24,6152,"0.77","0.89",70,"0.52"
"2014 Chevrolet Corvette","14.57",104,4404,"0.52","-0.74",71,"-0.17"
"2013 Audi RS5","13.857",96,6421,"0.56","0.99",72,"0.76"
"2014 Chevrolet Corvette","14.57",104,4481,"0.45","-0.63",71,"-0.17"
"2013 Audi RS5","13.857",96,6513,"0.91","0.36",73,"0.55"
"2014 Chevrolet Corvette","14.57",104,4481,"0.59","-0.45",72,"-0.17"
"2013 Audi RS5","13.857",96,6852,"0.9","0.07",78,"0.58"
"2014 Chevrolet Corvette","14.57",104,4738,"0.59","-0.31",77,"-0.17"
"2013 Audi RS5","13.857",96,7360,"0.91","0.0",83,"0.56"
"2014 Chevrolet Corvette","14.57",104,5083,"0.42","0.04",82,"-0.17"
"2013 Audi RS5","13.857",96,7735,"0.91","0.16",87,"0.62"
"2014 Chevrolet Corvette","14.57",104,3682,"0.54","0.47",85,"-0.17"
"2014 Chevrolet Corvette","14.676",98,2489,"0.27","-0.09",55,"-0.17"
"2014 Chevrolet Corvette","14.57",104,3731,"0.43","0.56",86,"-0.17"
"2013 Audi RS5","13.857",96,6631,"0.95","0.19",96,"0.73"
"2013 Audi RS5","13.857",96,6460,"0.71","0.07",98,"1.04"
"2014 Chevrolet Corvette","14.589",104,3731,"0.42","0.65",86,"-0.17"
"2014 Chevrolet Corvette","14.589",104,3731,"0.35","0.51",86,"-0.17"
"2014 Chevrolet Corvette","14.589",104,3719,"0.46","0.69",85,"-0.17"
"2014 Chevrolet Corvette","14.714",105,2477,"0.47","-0.94",42,"-0.17"
"2014 Chevrolet Corvette","14.589",104,3678,"0.39","0.5",84,"-0.17"
"2011 Ford Mustang GT500","13.737",96,3826,"0.83","1.05",83,"-2.0"
"2008 BMW M3","13.868",84,3265,"-0.2","-1.0",40,"-0.11"
"2013 Audi RS5","13.897",96,4294,"0.33","0.02",62,"1.15"
"2008 BMW M3","13.826",85,5658,"0.23","-1.07",68,"-0.69"
"2008 BMW M3","13.838",90,4018,"0.1","-1.02",50,"0.81"
"2014 Chevrolet Corvette","14.916",103,3093,"-0.05","-0.05",75,"-0.17"
"2013 Audi RS5","13.897",96,3672,"0.52","-0.89",41,"0.79"
"2013 Audi RS5","14.001",93,5064,"0.55","-0.6",74,"0.82"
"2013 Audi RS5","13.897",96,4804,"0.67","-0.97",36,"0.75"
"2014 Chevrolet Corvette","14.6",105,3671,"0.8","-0.58",60,"-0.17"
"2014 Chevrolet Corvette","14.596",102,3491,"0.72","-0.52",81,"-0.17"
"2013 Audi RS5","13.897",96,5349,"0.91","-0.93",42,"0.64"
"2014 Chevrolet Corvette","14.596",102,3759,"0.72","-0.4",87,"-0.17"
"2013 Audi RS5","13.852",7,6347,"0.62","-0.99",47,"0.83"
"2014 Chevrolet Corvette","14.596",102,4047,"0.72","-0.18",93,"-0.17"
"2013 Audi RS5","13.852",7,5976,"0.57","-1.01",46,"0.8"
"2014 Chevrolet Corvette","14.579",104,4342,"0.5","-0.54",70,"-0.17"
"2008 BMW M3","13.837",89,4671,"0.12","-1.05",59,"0.97"
"2015 Porsche GT3","14.221",92,7659,"0.7","-0.04",90,"-2.0"
"2011 Ford Mustang GT500","13.877",90,5112,"0.93","-0.01",110,"-2.0"
"2014 Chevrolet Corvette","14.596",102,3984,"0.14","0.02",91,"-0.17"
"2008 BMW M3","13.909",87,4328,"0.13","-0.95",53,"-0.02"
"2014 Chevrolet Corvette","14.596",102,3513,"-0.21","0.01",78,"-0.17"
"2013 Audi RS5","13.852",7,5950,"0.7","0.3",63,"0.73"
"2015 Porsche GT3","14.072",91,5547,"-0.71","-0.69",80,"-2.0"
"2013 Audi RS5","13.852",7,6200,"0.7","0.3",67,"0.75"
"2015 Porsche GT3","14.23",90,5467,"-0.67","-0.66",82,"-2.0"
"2014 Chevrolet Corvette","14.768",97,674,"0.36","0.16",6,"-0.17"
"2014 Chevrolet Corvette","14.615",102,2720,"-0.04","-0.28",41,"-0.17"
"2013 Audi RS5","13.868",,6315,"0.9","-0.45",70,"0.66"
"2014 Chevrolet Corvette","14.615",102,1985,"0.25","-0.89",31,"-0.17"
"2011 Ford Mustang GT500","13.548",90,1508,"0.91","0.02",10,"-2.0"
"2014 Chevrolet Corvette","14.498",103,4005,"0.45","0.02",91,"-0.17"
"2013 Audi RS5","13.868",,6318,"0.49","0.59",70,"0.88"
"2014 Chevrolet Corvette","14.615",102,2929,"0.7","-0.95",32,"-0.17"
"2013 Audi RS5","13.868",,6033,"0.53","0.95",67,"0.71"
"2014 Chevrolet Corvette","14.615",102,3320,"0.78","-0.9",37,"-0.17"
"2013 Audi RS5","13.868",,6110,"0.71","0.53",68,"0.96"
"2014 Chevrolet Corvette","14.615",102,3823,"0.7","-0.64",43,"-0.17"
"2011 Ferrari 458","14.035",84,2962,"1.04","0.0",67,"-0.1"
"2014 Chevrolet Corvette","14.615",102,4412,"0.78","-0.55",50,"-0.17"
"2013 Audi RS5","13.868",,6115,"0.86","-0.82",68,"0.73"
"2014 Chevrolet Corvette","14.599",103,5295,"0.85","-0.39",60,"-0.17"
"2014 Chevrolet Corvette","14.599",103,5296,"0.45","-0.11",60,"-0.17"
"2013 Audi RS5","13.821",37,6510,"0.87","-0.93",73,"0.59"
"2014 Chevrolet Corvette","14.599",103,5296,"0.69","0.23",67,"-0.17"
"2013 Audi RS5","13.821",37,6790,"0.79","-0.58",77,"0.49"
"2014 Chevrolet Corvette","14.599",103,4484,"0.73","0.51",73,"-0.17"
"2013 Audi RS5","13.931",2,6989,"0.77","-0.42",78,"0.43"
"2014 Chevrolet Corvette","14.599",103,4853,"0.59","0.54",79,"-0.17"
"2013 Audi RS5","13.821",37,6135,"0.91","-0.49",88,"0.71"
"2011 Ford Mustang GT500","13.975",97,3980,"1.14","-0.45",66,"-2.0"
"2013 Audi RS5","13.821",37,6321,"0.85","0.54",91,"0.91"
"2014 Chevrolet Corvette","14.599",103,5433,"0.69","0.46",88,"-0.17"
"2013 Audi RS5","13.829",96,6002,"0.6","-0.05",73,"0.84"
"2014 Chevrolet Corvette","14.599",103,5690,"0.61","0.34",88,"-0.17"
"2013 Audi RS5","13.821",37,6385,"0.67","0.71",95,"0.72"
"2013 Audi RS5","13.821",37,6538,"0.72","0.73",98,"0.55"
"2014 Chevrolet Corvette","14.63",104,4833,"0.6","-0.02",85,"-0.17"
"2014 Chevrolet Corvette","14.784",104,3249,"0.41","0.39",74,"-0.17"
"2013 Audi RS5","13.799",47,6651,"0.76","0.73",100,"0.77"
"2014 Chevrolet Corvette","14.615",96,1270,"0.58","0.14",8,"-0.17"
"2015 Porsche GT3","14.155",77,1316,"0.08","-0.04",3,"-2.0"
"2011 Ferrari 458","14.03",84,3245,"1.02","-0.04",74,"-0.04"
"2013 Audi RS5","13.799",47,5809,"0.14","-0.07",85,"1.0"
"2014 Chevrolet Corvette","14.58",105,5509,"0.5","0.64",91,"-0.17"
"2011 Ferrari 458","13.615",90,1359,"0.97","-0.07",13,"-0.16"
"2014 Chevrolet Corvette","14.58",105,5509,"0.48","0.71",88,"-0.17"
"2013 Audi RS5","13.799",47,5028,"0.68","-0.83",74,"0.58"
"2014 Chevrolet Corvette","14.58",105,5279,"0.4","0.81",84,"-0.17"
"2013 Audi RS5","13.799",47,5179,"0.66","-0.87",77,"0.48"
"2013 Audi RS5","13.799",47,5391,"0.82","-0.79",80,"0.63"
"2013 Audi RS5","13.799",47,5549,"0.91","-0.5",83,"0.72"
"2014 Chevrolet Corvette","14.574",106,5013,"0.62","0.89",80,"-0.17"
"2013 Audi RS5","13.82",1,5845,"0.73","-0.14",88,"0.51"
"2015 Porsche GT3","13.866",92,4633,"-0.77","-0.65",51,"-2.0"
"2008 BMW M3","13.854",88,6167,"0.17","-0.87",76,"0.52"
"2014 Chevrolet Corvette","14.637",106,5854,"0.99","-0.07",64,"-0.17"
"2013 Audi RS5","13.82",1,6100,"0.41","0.0",93,"0.75"
"2014 Chevrolet Corvette","14.613",105,5790,"0.73","0.2",93,"-0.17"
"2013 Audi RS5","13.82",1,6100,"0.45","0.06",90,"0.84"
"2011 Ford Mustang GT500","13.61",99,3682,"0.96","-0.25",82,"-2.0"
"2011 Ferrari 458","13.664",93,1628,"0.99","-0.03",37,"-0.04"
"2014 Chevrolet Corvette","14.703",104,3627,"0.55","-0.45",58,"-0.17"
"2013 Audi RS5","13.82",1,5285,"0.15","0.04",60,"1.13"
"2008 BMW M3","13.79",80,3623,"0.13","-0.97",45,"0.02"
"2013 Audi RS5","13.82",1,4299,"0.23","-0.29",46,"1.21"
"2014 Chevrolet Corvette","14.574",106,3329,"0.65","-0.8",54,"-0.17"
"2014 Chevrolet Corvette","14.518",102,3275,"0.54","-0.66",53,"-0.17"
"2013 Audi RS5","13.81",19,5045,"0.14","0.03",65,"1.11"
"2014 Chevrolet Corvette","14.871",100,2954,"0.36","-0.37",47,"-0.17"
"2015 Porsche GT3","14.172",78,1737,"-0.07","-0.02",8,"-2.0"
"2014 Chevrolet Corvette","14.574",106,4199,"0.88","-0.47",60,"-0.17"
