_time,ac_power,total-unhalted_core_cycles,total-instructions_retired,total-last_level_cache_references,total-memory_bus_transactions,total-cpu-utilization,total-disk-accesses,total-disk-blocks,total-disk-utilization
19:39:06 2008-Apr-22,247.0,2336592633,2307074196,177046038,7687908,100.00,1,8,2.8
19:39:07 2008-Apr-22,248.0,2337245167,2307344597,177081867,7687595,100.99,0,0,0
19:39:08 2008-Apr-22,247.0,2336531425,2307330010,177070273,7682891,100.00,12,136,7.2
19:39:09 2008-Apr-22,247.0,2336689305,2307674977,177099749,7682697,100.99,0,0,0
19:39:10 2008-Apr-22,246.0,2337016971,2307641464,177086199,7684162,100.00,0,0,0
19:39:11 2008-Apr-22,248.0,2338221950,2307818626,177100205,7687703,100.00,19,152,9.2
19:39:12 2008-Apr-22,247.0,2338478655,2307554561,177082994,7689078,100.00,0,0,0
19:39:13 2008-Apr-22,247.0,2337963024,2307003461,177043851,7689116,100.00,16,184,8.8
19:39:14 2008-Apr-22,247.0,2336712008,2307321682,177075026,7680169,100.00,0,0,0
19:39:15 2008-Apr-22,248.0,2336828713,2307574646,177097930,7678642,100.00,0,0,0
19:39:16 2008-Apr-22,248.0,2337791057,2307208324,177056886,7685127,100.00,8,64,4.8
19:39:17 2008-Apr-22,247.0,2337659617,2307396986,177073655,7685992,100.00,0,0,0
19:39:18 2008-Apr-22,247.0,2337396466,2307475191,177084545,7684184,100.00,21,264,7.2
19:39:19 2008-Apr-22,248.0,2336923494,2307786298,177125514,7680217,100.00,0,0,0
19:39:20 2008-Apr-22,248.0,2336434545,2307647798,177105206,7676277,100.00,0,0,0
19:39:21 2008-Apr-22,247.0,2337207061,2308263094,177140426,7679856,100.00,9,72,4.8
19:39:22 2008-Apr-22,248.0,2336753825,2307945253,177125062,7678711,100.00,0,0,0
19:39:23 2008-Apr-22,247.0,2337331783,2307805204,177106000,7679841,100.99,12.87,150.5,7.13
19:39:24 2008-Apr-22,248.0,2336560665,2307461306,177085656,7675426,100.00,0,0,0
20:04:52 2008-Apr-22,220.0,41959861,28807972,604275,186618,-0.00,13.54,366.67,7.08
20:04:53 2008-Apr-22,222.0,1069887173,2102909802,65328857,489665,48.20,18.1,373.33,13.33
20:04:54 2008-Apr-22,230.0,235820400,482587113,14826143,20050,16.30,0,0,0
20:04:55 2008-Apr-22,223.0,237697571,482845694,15235134,27262,16.37,0,0,0
20:04:56 2008-Apr-22,222.0,237319047,482811531,15130476,21026,17.20,0,0,0
20:04:57 2008-Apr-22,222.0,237807769,483146548,14909230,26773,16.67,0,0,0
20:04:58 2008-Apr-22,222.0,238265175,482899661,15436145,21537,17.20,0,0,0
20:04:59 2008-Apr-22,222.0,236353589,482756295,14888383,19865,17.13,12.5,130.77,5.77
20:05:00 2008-Apr-22,222.0,237326240,482708656,15334811,18378,16.37,0,0,0
20:05:01 2008-Apr-22,223.0,285176321,546382306,15195916,195829,16.59,9.62,84.62,3.85
20:05:02 2008-Apr-22,223.0,242137581,483627744,15498978,49139,17.60,30.3,533.33,18.99
20:05:03 2008-Apr-22,223.0,236784061,482843005,14889883,22381,16.30,0,0,0
20:05:04 2008-Apr-22,222.0,237391375,482657089,15336620,19578,17.20,0,0,0
20:05:05 2008-Apr-22,223.0,237158906,482867123,15036829,22747,17.18,0,0,0
20:05:06 2008-Apr-22,222.0,236946065,482665681,15233688,17773,15.67,0,0,0
20:05:07 2008-Apr-22,222.0,240766852,483846972,15131896,44205,18.85,38.24,368.63,23.92
20:05:08 2008-Apr-22,222.0,238030100,482781368,15424638,21990,16.36,23.47,236.73,8.57
20:05:09 2008-Apr-22,223.0,270912841,546894799,15183787,86116,17.12,0,0,0
20:05:10 2008-Apr-22,222.0,238380569,483019618,15250895,30159,18.18,0,0,0
20:05:11 2008-Apr-22,224.0,237941782,483064316,15137540,24404,17.53,0,0,0
20:05:12 2008-Apr-22,222.0,239257399,483215259,15411744,25784,18.10,0,0,0
20:05:13 2008-Apr-22,223.0,237747377,483201385,14878507,25212,16.36,11.88,142.57,5.94
20:05:14 2008-Apr-22,221.0,237548404,482763782,15490279,15658,17.20,0,0,0
20:05:15 2008-Apr-22,222.0,236513403,482822610,15005103,16896,18.17,0,0,0
20:05:16 2008-Apr-22,222.0,236975583,482989693,15020086,18368,16.36,0,0,0
20:05:17 2008-Apr-22,223.0,240308902,483391732,15363042,33489,18.02,10,88,4
20:05:18 2008-Apr-22,221.0,271588183,547032779,15304391,76550,17.27,2.97,55.45,3.56
20:05:19 2008-Apr-22,223.0,237263209,483065256,14984842,22116,17.20,0,0,0
20:05:20 2008-Apr-22,222.0,236817416,482938687,15072197,16996,16.43,0,0,0
20:05:21 2008-Apr-22,222.0,238320631,483174488,15311066,20196,17.27,0,0,0
20:05:22 2008-Apr-22,222.0,237948367,483485076,14906658,27136,17.13,5,40,3.2
20:05:23 2008-Apr-22,223.0,237964248,482977143,15397454,17796,16.57,9,112,4
20:05:24 2008-Apr-22,222.0,236733697,483016350,14997890,16778,17.19,0,0,0
20:05:25 2008-Apr-22,223.0,237773422,483029185,15267236,18749,17.20,0,0,0
20:05:26 2008-Apr-22,223.0,270818684,546853686,15331982,62675,18.11,0,0,0
20:05:27 2008-Apr-22,223.0,239914050,483429879,15460389,33016,17.12,2,16,3.2
20:05:28 2008-Apr-22,222.0,236204037,482836722,14945541,17105,17.19,11,120,4
20:05:29 2008-Apr-22,223.0,238043285,483181142,15323272,19319,16.36,0,0,0
20:05:30 2008-Apr-22,223.0,236800905,482955386,15115836,16098,17.29,0,0,0
20:05:31 2008-Apr-22,222.0,237921203,483140516,15295395,17473,16.36,0,0,0
20:05:32 2008-Apr-22,222.0,237699542,483362453,14968927,24124,16.30,1,8,2.8
20:05:33 2008-Apr-22,222,238970526,483250507,15552734,21348,16.36,13,136,4
20:05:34 2008-Apr-22,222.0,236080495,482908146,14841829,16260,16.36,0,0,0
20:05:35 2008-Apr-22,223.0,266909356,537481509,15239740,64463,16.43,0,0,0
20:05:36 2008-Apr-22,221.0,237147132,483111201,14946830,22235,15.47,0,0,0
20:05:37 2008-Apr-22,222.0,240629257,483666183,15562462,29759,15.40,0.99,7.92,3.17
20:05:38 2008-Apr-22,223.0,236683424,483075372,14838767,19458,17.50,15,192,4.8
20:05:39 2008-Apr-22,222.0,237248443,483097407,15160999,17321,15.39,0,0,0
20:05:40 2008-Apr-22,222.0,237090321,483007446,15200292,15948,15.45,0,0,0
20:05:41 2008-Apr-22,223.0,236855773,483205421,14875902,19491,15.40,0,0,0
20:05:42 2008-Apr-22,222.0,239587101,483461809,15438374,26329,17.42,5,40,4
20:05:43 2008-Apr-22,222.0,270942389,546968932,15232510,70165,16.30,16.16,169.7,6.46
20:05:44 2008-Apr-22,222.0,237220049,482989193,15147898,19476,16.36,0,0,0
20:05:45 2008-Apr-22,223.0,236589904,483025559,14913111,18630,15.40,0,0,0
20:05:46 2008-Apr-22,222.0,237729614,482921853,15424648,15122,15.40,0,0,0
20:05:47 2008-Apr-22,222.0,239901189,486770524,14934142,57094,16.59,0.94,7.55,2.64
20:05:48 2008-Apr-22,222.0,237697474,482943677,15337538,18093,15.53,12.12,137.37,4.44
20:05:49 2008-Apr-22,222.0,237095960,483101711,15070548,17666,15.34,0,0,0
20:05:50 2008-Apr-22,223.0,237623904,483072585,15261294,17349,14.62,0,0,0
20:05:51 2008-Apr-22,223.0,268366560,540485731,15051056,66117,17.43,0,0,0
20:05:52 2008-Apr-22,222.0,240274367,484086414,15394863,33769,23.99,6,48,3.6
20:05:53 2008-Apr-22,223.0,237371989,480454174,14983247,25405,15.45,6.93,102.97,5.15
20:05:54 2008-Apr-22,222.0,239000262,486522130,15382977,15976,16.23,0,0,0
20:05:55 2008-Apr-22,223.0,238198365,483657288,15166149,20043,16.36,0,0,0
20:05:56 2008-Apr-22,221.0,239693075,483934822,15445709,21117,14.74,0,0,0
20:05:57 2008-Apr-22,222.0,237260285,479718766,14785366,29523,17.20,8.57,68.57,3.05
20:05:58 2008-Apr-22,223.0,240306479,487655771,15537019,18426,14.54,4.04,72.73,3.23
20:05:59 2008-Apr-22,222.0,237457984,483267422,15057273,18337,16.30,0,0,0
20:06:00 2008-Apr-22,221.0,269169157,542315216,15332383,65154,17.35,0,0,0
20:06:01 2008-Apr-22,223.0,236508146,483037591,14809511,20630,17.13,0,0,0
20:06:02 2008-Apr-22,222.0,240304140,483489769,15570970,30525,15.53,5.15,41.24,2.89
20:06:03 2008-Apr-22,223.0,237527178,483146756,15029055,19509,17.13,15.24,167.62,3.81
20:06:04 2008-Apr-22,222.0,236591669,482982187,14995858,15853,16.30,0,0,0
20:06:05 2008-Apr-22,223.0,238380740,483169871,15379290,18688,16.43,0,0,0
20:06:06 2008-Apr-22,222.0,236025912,482901726,14851998,15099,17.13,0,0,0
20:06:07 2008-Apr-22,223.0,239481426,483388670,15408960,26083,16.30,6,48,3.2
20:06:08 2008-Apr-22,222.0,270864563,546968262,15224427,65873,18.02,7.92,102.97,5.15
20:06:09 2008-Apr-22,223.0,238343148,483162321,15331878,22223,16.36,0,0,0
20:06:10 2008-Apr-22,222.0,236469887,483047735,14871876,17022,16.37,0,0,0
20:06:11 2008-Apr-22,223.0,238702337,483257455,15417610,19354,17.13,0,0,0
20:06:12 2008-Apr-22,222.0,237872175,483278002,14979995,24124,17.20,2.02,16.16,2.83
20:06:13 2008-Apr-22,222.0,238124142,483148378,15286066,19712,17.29,10.78,125.49,4.31
20:06:14 2008-Apr-22,223.0,236755202,482988532,15100316,14973,17.20,0,0,0
20:06:15 2008-Apr-22,223.0,238440581,483298990,15352905,18972,16.37,0,0,0
20:06:16 2008-Apr-22,221.0,270952427,547142042,15179271,60676,17.35,0,0,0
20:06:17 2008-Apr-22,222.0,241402481,483983930,15361504,40048,17.13,5,40,4.4
20:06:18 2008-Apr-22,223.0,238985065,483547950,15147993,23836,17.34,16,176,5.6
20:06:19 2008-Apr-22,222.0,239457571,483636042,15355428,21466,17.13,0,0,0
20:06:20 2008-Apr-22,221.0,237215336,483218858,14950530,18552,16.22,0,0,0
20:06:21 2008-Apr-22,223.0,238643160,483170814,15513145,18069,17.85,0,0,0
20:06:22 2008-Apr-22,222.0,237734865,483282228,14889281,22692,17.05,7.92,63.37,3.56
20:06:23 2008-Apr-22,222,237160177,482987313,15163878,18022,18.15,5,80,4.4
20:06:24 2008-Apr-22,222.0,237442032,482959864,15270602,16176,17.05,0,0,0
20:06:25 2008-Apr-22,222.0,271411256,546983702,15366764,64534,18.76,0,0,0
20:06:26 2008-Apr-22,223.0,236009022,482907000,14769253,17419,16.30,0,0,0
20:06:27 2008-Apr-22,222.0,238537942,483297128,15237377,26802,17.42,0.99,7.92,3.17
20:06:28 2008-Apr-22,222.0,237251768,482884002,15209296,16734,17.13,13,144,5.2
20:06:29 2008-Apr-22,222.0,236398111,482994792,14876341,16356,17.05,0,0,0
20:06:30 2008-Apr-22,223.0,238599146,483126382,15526747,17363,18.56,0,0,0
20:06:31 2008-Apr-22,222.0,237497941,483363426,14921298,19718,18.10,0,0,0
20:06:32 2008-Apr-22,223.0,239778936,483573346,15359817,29419,18.18,9,104,4
20:06:33 2008-Apr-22,222.0,272740052,547600670,15308037,72118,18.26,6.93,102.97,3.96
20:06:34 2008-Apr-22,223.0,238002607,482942503,15432573,19190,18.18,0,0,0
20:06:35 2008-Apr-22,223.0,236696244,483009711,14942433,18124,18.18,0,0,0
20:06:36 2008-Apr-22,223.0,237716833,482970920,15350910,16175,18.10,0,0,0
20:06:37 2008-Apr-22,222.0,239144432,483579153,15082262,29248,19.03,8.91,71.29,3.96
20:06:38 2008-Apr-22,222.0,237828789,483021335,15265095,18148,18.18,5,88,4
20:06:39 2008-Apr-22,222.0,237200632,483111031,15074997,17329,18.18,0,0,0
20:06:40 2008-Apr-22,222.0,238564933,483158836,15459892,18437,18.18,0,0,0
20:06:41 2008-Apr-22,222.0,259011428,523969177,14773006,52656,18.18,0,0,0
20:06:42 2008-Apr-22,222.0,247044319,497046034,15376063,45275,19.82,7.92,63.37,4.36
20:06:43 2008-Apr-22,223.0,237346687,482993758,15140159,19656,16.52,5,80,4
20:06:44 2008-Apr-22,222.0,237603619,482873392,15417097,16326,18.18,0,0,0
20:06:45 2008-Apr-22,222.0,236543301,483129748,14864914,17926,18.18,0,0,0
20:06:46 2008-Apr-22,222.0,237321026,482966004,15349789,15014,17.35,0,0,0
20:06:47 2008-Apr-22,223.0,240542833,486743432,15139795,55509,17.27,5,48,4
20:06:48 2008-Apr-22,222.0,236929322,483087575,14986200,18990,18.10,8.25,115.46,3.71
20:06:49 2008-Apr-22,222.0,238867367,483356082,15377513,20673,18.18,0,0,0
20:06:50 2008-Apr-22,222.0,266410400,538817397,15020941,60093,18.18,0,0,0
20:06:51 2008-Apr-22,223.0,237212759,483244792,15061131,20492,18.18,0,0,0
20:06:52 2008-Apr-22,222.0,238229785,483194312,15026934,28202,18.10,7,56,4.4
20:06:53 2008-Apr-22,222.0,238083713,483125126,15376600,18868,17.35,13,152,4.4
20:06:54 2008-Apr-22,222.0,235766826,483026072,14854295,14297,18.18,0,0,0
20:06:55 2008-Apr-22,223.0,237647653,482993099,15428120,15549,16.44,0,0,0
20:06:56 2008-Apr-22,222.0,236186661,482670084,15002852,14672,18.18,0,0,0
20:06:57 2008-Apr-22,222.0,244131893,490164858,15521339,43011,18.18,9,72,4
20:06:58 2008-Apr-22,221.0,272594604,537129645,15015647,120689,10.46,5.21,100,4.17
20:06:59 2008-Apr-22,223.0,237098253,482627327,15384195,19979,9.09,0,0,0
20:07:00 2008-Apr-22,222.0,235597889,482630766,14978736,15516,9.09,0,0,0
20:07:01 2008-Apr-22,223.0,236691319,482729690,15290349,15154,9.09,0,0,0
20:07:02 2008-Apr-22,222.0,237033078,482920618,15109823,20837,9.09,1.01,8.08,2.83
20:07:03 2008-Apr-22,223.0,236803933,482696846,15309821,15602,9.09,19.61,196.08,4.71
20:07:04 2008-Apr-22,222.0,235063550,482608791,14879062,12637,9.09,0,0,0
20:07:05 2008-Apr-22,223.0,237138208,482780158,15492935,15201,9.09,0,0,0
20:07:06 2008-Apr-22,222.0,235432358,482532832,14960871,13246,9.09,0,0,0
20:07:07 2008-Apr-22,223.0,271503676,547003683,15530360,65596,10.90,0.99,7.92,3.17
20:07:08 2008-Apr-22,222.0,235287610,482595909,14917163,14689,10.09,12,152,3.2
20:07:09 2008-Apr-22,222.0,237414139,482774092,15501341,15112,9.01,0,0,0
20:07:10 2008-Apr-22,222.0,235794210,482753176,14860756,13903,9.09,0,0,0
20:07:11 2008-Apr-22,223.0,236742520,482959449,15131985,15430,11.68,0,0,0
20:07:12 2008-Apr-22,222.0,238632456,483332597,15268685,22517,9.09,7,56,3.6
20:07:13 2008-Apr-22,222.0,237048950,483339616,14889170,19539,9.09,6.93,102.97,4.75
20:07:14 2008-Apr-22,222.0,236992404,482700935,15385379,13481,10.08,0,0,0
20:07:15 2008-Apr-22,223.0,269616562,546789598,15221668,55909,10.81,0,0,0
20:07:16 2008-Apr-22,222.0,236486278,482727320,15178042,15916,10.08,0,0,0
20:07:17 2008-Apr-22,222.0,237581001,483343872,14920652,22792,9.01,5.88,47.06,4.31
20:07:18 2008-Apr-22,223.0,236763322,482594770,15403769,12428,9.17,7.07,96.97,4.85
20:07:19 2008-Apr-22,223.0,235614378,482794225,14879454,13204,9.01,0,0,0
20:07:20 2008-Apr-22,222.0,233151628,475951927,15069501,12377,8.18,0,0,0
20:07:21 2008-Apr-22,223.0,236264731,483211099,15078635,13341,9.09,0,0,0
20:07:22 2008-Apr-22,222.0,237392654,483067294,15284890,18428,9.09,3.96,31.68,3.96
20:07:23 2008-Apr-22,222.0,263133745,533851536,14787685,49881,9.91,9.9,126.73,3.56
20:07:24 2008-Apr-22,221.0,236541731,482647378,15303770,15928,9.09,0,0,0
20:07:25 2008-Apr-22,223.0,236147864,482781679,15100600,14963,9.01,0,0,0
20:07:26 2008-Apr-22,222.0,236415400,482665437,15276966,12008,9.09,0,0,0
20:07:27 2008-Apr-22,223.0,236989998,483181501,14970779,20141,8.26,10.89,87.13,5.54
20:07:28 2008-Apr-22,223.0,236828440,482662444,15421198,13632,9.09,8,112,5.2
20:07:29 2008-Apr-22,223.0,235449356,482748077,14827755,13728,9.09,0,0,0
20:07:30 2008-Apr-22,222.0,236161877,482660595,15220201,12595,8.18,0,0,0
20:07:31 2008-Apr-22,223.0,236557966,482765452,15119186,14737,9.17,0,0,0
20:07:32 2008-Apr-22,222.0,271324106,547086644,15420131,59121,10.08,9.9,110.89,2.77
20:07:33 2008-Apr-22,222.0,235563973,482777080,14734436,18061,9.09,7,112,4.8
20:07:34 2008-Apr-22,222.0,236007848,482575697,15242862,12059,9.09,0,0,0
20:07:35 2008-Apr-22,223.0,236138916,482715139,15108848,13626,9.09,0,0,0
20:07:36 2008-Apr-22,222.0,236017654,482830271,14919339,13408,8.26,0,0,0
20:07:37 2008-Apr-22,222.0,238775678,483269318,15440392,22242,9.09,4,32,4.4
20:07:38 2008-Apr-22,223.0,235067412,482645237,14847212,12052,9.09,11.22,130.61,4.08
20:07:39 2008-Apr-22,223.0,236901705,482850726,15337280,14109,8.26,0,0,0
20:07:40 2008-Apr-22,222.0,269233776,546691719,15220556,48797,10.44,0,0,0
20:07:41 2008-Apr-22,222.0,237113853,482731718,15367632,17568,9.01,0,0,0
20:07:42 2008-Apr-22,224.0,236107260,482970926,14870060,17761,9.09,7,56,3.2
20:07:43 2008-Apr-22,223.0,237079701,482816195,15361248,15363,9.09,6.93,102.97,5.54
20:07:44 2008-Apr-22,222.0,235445212,482636671,14969511,12109,9.09,0,0,0
20:07:45 2008-Apr-22,222.0,236747756,482831090,15241043,13694,8.26,0,0,0
20:07:46 2008-Apr-22,223.0,235730026,482623321,15094653,11516,9.09,0,0,0
20:07:47 2008-Apr-22,222.0,241714192,486525530,15423499,76465,9.01,7,56,3.6
20:07:48 2008-Apr-22,223.0,269782920,546573279,15233468,72625,10.08,5.94,87.13,4.75
20:07:49 2008-Apr-22,222.0,236907211,482760842,15242389,21101,9.91,0,0,0
20:07:50 2008-Apr-22,224.0,236624045,482899769,15104670,17328,9.09,0,0,0
20:07:51 2008-Apr-22,222.0,238135451,483139996,15368768,17268,9.09,0,0,0
20:07:52 2008-Apr-22,223.0,237654850,483447069,14914773,23893,10.65,7,56,4
20:07:53 2008-Apr-22,222.0,238637969,483269500,15519526,18879,9.81,7,104,5.6
20:07:54 2008-Apr-22,223.0,235477939,482677345,14915363,12706,9.09,0,0,0
20:07:55 2008-Apr-22,222.0,236311713,482861313,15122631,14697,9.09,0,0,0
20:07:56 2008-Apr-22,223.0,237133304,482855675,15252151,16265,9.01,0,0,0
20:07:57 2008-Apr-22,222.0,267486137,537763530,15076830,67431,10.95,16,128,4.4
20:07:58 2008-Apr-22,223.0,235507704,482616691,14885456,16251,9.09,4.95,79.21,4.36
20:07:59 2008-Apr-22,222.0,236162449,482749444,15104003,15093,9.09,0,0,0
20:08:00 2008-Apr-22,223.0,236545978,482636037,15302886,13370,9.01,0,0,0
20:08:01 2008-Apr-22,221.0,235538886,482808775,14825711,14079,9.09,0,0,0
20:08:02 2008-Apr-22,222.0,238273604,483088041,15403368,19829,9.09,13,104,5.2
20:08:03 2008-Apr-22,222.0,235903848,482797847,14945237,14490,9.09,6,112,3.2
20:08:04 2008-Apr-22,223.0,236414568,482651437,15275771,13396,9.09,0,0,0
20:08:05 2008-Apr-22,222.0,265131545,537230284,14972461,52407,9.91,0,0,0
20:08:06 2008-Apr-22,222.0,236607205,482597564,15376165,14533,10.07,0,0,0
20:08:07 2008-Apr-22,224.0,237055246,483108780,14931746,21593,8.18,8,64,3.2
20:08:08 2008-Apr-22,223.0,236742395,482705274,15291867,15238,10.07,5,80,4.8
20:08:09 2008-Apr-22,222.0,236193593,482782824,15067275,14117,9.01,0,0,0
20:08:10 2008-Apr-22,222.0,236365539,482686841,15262182,11327,8.26,0,0,0
20:08:11 2008-Apr-22,223.0,235971228,482905326,14929725,14284,9.09,0,0,0
20:08:12 2008-Apr-22,222.0,238005726,483033615,15497468,17836,8.26,2.97,31.68,4.36
20:08:13 2008-Apr-22,222.0,235971379,482833286,14841472,16173,9.09,11,136,4
20:08:14 2008-Apr-22,222.0,270172803,546722404,15520529,49095,10.08,0,0,0
20:08:15 2008-Apr-22,223.0,235945595,482746915,14945354,15612,9.09,0,0,0
20:08:16 2008-Apr-22,221.0,237245426,482750946,15468227,14371,9.09,0,0,0
20:08:17 2008-Apr-22,222.0,237737197,483365896,14860146,23719,9.09,8,64,3.2
20:08:18 2008-Apr-22,222.0,236274353,482775024,15177154,13395,9.09,6.06,96.97,5.66
20:08:19 2008-Apr-22,223.0,236332958,482780128,15164758,12671,9.09,0,0,0
20:08:20 2008-Apr-22,222.0,235324513,482737167,14896160,12876,9.09,0,0,0
20:08:21 2008-Apr-22,222.0,237276143,482786733,15400214,14716,9.09,0,0,0
20:08:22 2008-Apr-22,222.0,269001704,544289953,15158986,53446,10.42,1.98,15.84,3.17
20:08:23 2008-Apr-22,223.0,236285034,482935898,15116912,16251,9.09,10.89,126.73,4.36
20:08:24 2008-Apr-22,222.5,235203090,482872468,14894129,12195,8.18,0,0,0
20:08:25 2008-Apr-22,222.0,237306044,483033038,15462951,14269,9.09,0,0,0
20:08:26 2008-Apr-22,223.0,235109908,482821522,14854426,11962,8.26,0,0,0
20:08:27 2008-Apr-22,222.0,238002792,483380953,15356607,18778,8.26,1,8,3.2
20:08:28 2008-Apr-22,222.0,235850520,482549424,15036665,14644,9.09,21,216,8.4
20:08:29 2008-Apr-22,221.0,236471629,482945438,15236622,14086,9.01,0,0,0
20:08:30 2008-Apr-22,222.0,265264650,538263795,15016018,48398,10.11,0,0,0
20:08:31 2008-Apr-22,221.0,237368513,482836375,15332514,18449,9.09,0,0,0
20:08:32 2008-Apr-22,222.0,237367987,483190440,15038339,22044,9.01,7,56,2.8
20:08:33 2008-Apr-22,223.0,237950682,483192017,15290351,19003,9.09,5.94,87.13,4.36
20:08:34 2008-Apr-22,222.0,235762703,482652070,15101045,11896,9.09,0,0,0
20:08:35 2008-Apr-22,222.0,237383988,482874597,15374928,15409,9.09,0,0,0
20:08:36 2008-Apr-22,222.0,235876504,482741785,14854395,13363,18.02,0,0,0
20:08:37 2008-Apr-22,222.0,239917553,483409072,15561048,24281,19.17,11,88,5.2
20:08:38 2008-Apr-22,222.0,236537328,482650836,15082569,14328,18.18,9,128,6
20:08:39 2008-Apr-22,222.0,270557988,546863090,15454931,52887,19.99,0,0,0
20:08:40 2008-Apr-22,223.0,235802665,482852634,14821518,14803,19.17,0,0,0
20:08:41 2008-Apr-22,222.0,237886878,482991702,15537038,15494,18.10,0,0,0
20:08:42 2008-Apr-22,222.0,237443427,483220782,14991370,20062,17.42,9,72,4.8
20:08:43 2008-Apr-22,222.0,236252487,482836536,15038393,13489,19.10,4,72,3.6
20:08:44 2008-Apr-22,223.0,236805149,482752875,15306402,11937,18.18,0,0,0
20:08:45 2008-Apr-22,222.0,236130973,482965714,14909286,14567,19.17,0,0,0
20:08:46 2008-Apr-22,222.0,237188304,482872817,15374205,13581,18.26,0,0,0
20:08:47 2008-Apr-22,223.0,269323052,541144584,14957400,109574,19.00,5,40,6
20:08:48 2008-Apr-22,223.0,237555090,483143024,15289213,20252,18.18,10,128,6.4
20:08:49 2008-Apr-22,223.0,236242937,483017229,14862357,18495,18.10,0,0,0
20:08:50 2008-Apr-22,222.0,232937708,473413006,15099465,16395,18.18,0,0,0
20:08:51 2008-Apr-22,223.0,236793984,483063996,14969062,17744,18.10,0,0,0
20:08:52 2008-Apr-22,222.0,238463868,483309638,15280733,22541,17.35,6.93,55.45,2.77
20:08:53 2008-Apr-22,222.0,237466135,483172799,15116609,19160,18.18,6,88,5.6
20:08:54 2008-Apr-22,222.0,237259693,482867530,15327003,16808,17.35,0,0,0
20:08:55 2008-Apr-22,223.0,270303193,546910130,15258050,67934,19.82,0,0,0
20:08:56 2008-Apr-22,222.0,237581008,483056249,15277060,19413,18.18,0,0,0
20:08:57 2008-Apr-22,223.0,238795426,483562176,15137012,26129,18.18,2,24,3.6
20:08:58 2008-Apr-22,222.0,237356985,482945037,15318056,15405,18.18,18.81,198.02,5.15
20:08:59 2008-Apr-22,223.0,236256378,483021319,14921525,14851,18.18,0,0,0
20:09:00 2008-Apr-22,222.0,237319678,482876098,15468176,13570,18.18,0,0,0
20:09:01 2008-Apr-22,222.0,236066396,482939827,14859322,15223,17.35,0,0,0
20:09:02 2008-Apr-22,222.0,237498316,483168002,15163239,19403,18.18,1.98,15.84,3.96
20:09:03 2008-Apr-22,222.0,237177680,483004851,15194492,16110,18.10,11,128,4.4
20:09:04 2008-Apr-22,222.0,270095491,546832165,15351117,52825,19.37,0,0,0
20:09:05 2008-Apr-22,222.0,236100837,482985743,14821260,18032,16.44,0,0,0
20:09:06 2008-Apr-22,222.0,236621843,482888486,15199670,13869,18.10,0,0,0
20:09:07 2008-Apr-22,222.0,238056503,483259659,15196419,21053,18.18,1,8,3.2
20:09:08 2008-Apr-22,222.0,235737208,482823542,14856045,13851,16.36,13,152,5.2
20:09:09 2008-Apr-22,222.0,237622556,482991021,15413880,14771,18.18,0,0,0
20:09:10 2008-Apr-22,222.0,236278017,483025497,14928753,13929,16.52,0,0,0
20:09:11 2008-Apr-22,222.0,238278062,483296871,15342601,18029,18.10,0,0,0
20:09:12 2008-Apr-22,223.0,271270032,547309439,15263865,57365,18.91,4,32,3.6
20:09:13 2008-Apr-22,223.0,239371639,483477196,15450880,26019,18.18,14.85,166.34,7.13
20:09:14 2008-Apr-22,222.0,236080177,482996728,14873652,15008,18.26,0,0,0
20:09:15 2008-Apr-22,222.0,237396568,482984665,15339926,14834,18.02,0,0,0
20:09:16 2008-Apr-22,224.0,236773914,483059786,15038289,14843,18.18,0,0,0
20:09:17 2008-Apr-22,222.0,238950133,483488941,15304685,22407,18.18,5.94,47.52,4.36
20:09:18 2008-Apr-22,223.0,236366989,482939578,15052400,13802,18.26,8,112,5.6
20:09:19 2008-Apr-22,222.0,237487152,483005414,15430609,14593,18.10,0,0,0
20:09:20 2008-Apr-22,223.0,269636384,546869414,15257588,46077,17.42,0,0,0
20:09:21 2008-Apr-22,223.0,237477300,482968499,15249560,21201,19.82,0,0,0
20:09:22 2008-Apr-22,222.0,238179145,483338803,15145397,23881,18.10,14,128,5.6
20:09:23 2008-Apr-22,222.0,237383851,482933282,15394416,14791,18.18,6,88,5.2
20:09:24 2008-Apr-22,223.0,235547813,482791536,14835200,13583,18.18,0,0,0
20:09:25 2008-Apr-22,222.0,237709894,482967962,15496119,14556,18.18,0,0,0
20:09:26 2008-Apr-22,222.0,236177193,482891815,14998766,13163,18.10,0,0,0
20:09:27 2008-Apr-22,223.0,237329965,483282617,15031064,19270,18.18,10,88,3.6
20:09:28 2008-Apr-22,222.0,237179909,482853260,15310639,14438,18.18,3,80,2.8
20:09:29 2008-Apr-22,222.0,270198766,546965342,15304673,49938,19.25,0,0,0
20:09:30 2008-Apr-22,222.0,236161315,482891705,14973734,15313,18.18,0,0,0
20:09:31 2008-Apr-22,223.0,237309325,483261120,15077350,16987,18.18,0,0,0
20:09:32 2008-Apr-22,222.0,238672015,483293883,15324512,20665,17.78,1,8,2.8
20:09:33 2008-Apr-22,222.0,236950379,483276528,14885128,18278,18.18,13,152,5.6
20:09:34 2008-Apr-22,222.0,237246030,482936785,15379654,12861,18.18,0,0,0
20:09:35 2008-Apr-22,223.0,236410482,482951696,15019420,13591,19.17,0,0,0
20:09:36 2008-Apr-22,222.0,237472557,483085790,15266819,15162,18.18,0,0,0
20:09:37 2008-Apr-22,222.0,265446463,534100587,14916451,56295,20.33,1.98,15.84,2.38
