"","party","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-corporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
"346","republican","n","n","n","y","y","y","y","n","n","y","n","y","n","y","y","y"
"347","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"348","republican","y","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"349","democrat","y","n","y","n","n","n","y","y","y","y","n","y","n","n","y","?"
"350","republican","n","y","y","y","y","y","y","y","y","n","n","y","y","y","n","y"
"351","democrat","n","y","n","n","n","y","y","n","y","n","y","n","n","n","y","y"
"352","republican","n","n","y","y","y","y","y","y","y","y","n","y","y","y","y","y"
"353","democrat","n","y","n","y","n","y","y","y","y","n","y","n","y","n","y","?"
"354","republican","n","n","y","y","y","y","y","n","n","y","y","y","y","y","n","y"
"355","democrat","n","y","y","n","n","y","y","y","y","y","n","?","n","n","y","y"
"356","republican","y","n","y","y","n","n","n","y","y","y","n","n","n","y","y","y"
"357","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"358","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"359","democrat","y","y","y","n","n","y","y","y","y","y","y","y","y","y","n","?"
"360","republican","n","n","n","y","y","y","n","n","n","y","?","y","y","y","n","y"
"361","democrat","y","n","y","n","n","y","y","y","y","y","n","n","y","n","n","y"
"362","democrat","y","n","y","n","y","y","y","n","y","y","n","n","y","y","n","?"
"363","democrat","y","y","y","n","n","y","y","y","y","y","y","y","y","n","n","y"
"364","republican","y","y","n","y","y","y","n","n","n","y","y","n","y","n","n","n"
"365","republican","y","y","n","y","y","y","n","n","n","n","y","n","y","y","n","y"
"366","democrat","n","y","n","n","y","y","n","n","n","y","y","n","y","y","n","n"
"367","democrat","y","n","y","n","n","n","y","y","n","y","y","n","n","n","n","?"
"368","democrat","y","y","y","n","y","y","y","y","n","y","y","n","n","n","y","?"
"369","democrat","n","y","y","n","n","y","y","y","n","y","n","n","n","n","y","y"
"370","republican","n","y","n","y","y","y","n","n","n","n","n","n","y","y","n","y"
"371","democrat","y","y","y","n","?","y","y","y","n","y","?","?","n","n","y","y"
"372","democrat","y","y","y","n","?","n","y","y","y","y","n","n","n","n","y","?"
"373","democrat","n","y","y","y","y","y","n","n","n","n","y","y","?","y","n","n"
"374","democrat","n","y","y","?","y","y","n","y","n","y","?","n","y","y","?","y"
"375","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"376","democrat","n","y","n","y","y","y","n","n","n","n","y","y","n","y","n","n"
"377","democrat","y","?","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"378","republican","n","y","n","y","y","y","?","?","n","n","?","?","y","?","?","?"
"379","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"380","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"381","democrat","y","y","y","n","n","y","?","y","y","n","y","n","y","n","y","y"
"382","democrat","y","y","y","n","y","y","y","y","y","y","y","n","y","y","n","?"
"383","democrat","y","y","n","y","y","y","n","n","n","n","y","n","y","y","n","?"
"384","democrat","y","y","y","n","y","y","n","y","y","y","y","n","n","n","n","y"
"385","democrat","y","y","y","y","y","y","n","n","n","n","y","y","y","y","n","y"
"386","democrat","y","y","n","n","y","y","n","n","n","n","y","y","y","y","y","n"
"387","democrat","n","?","y","n","y","y","n","y","n","n","y","n","n","n","n","?"
"388","democrat","y","y","y","n","y","y","n","y","y","n","y","n","n","y","n","?"
"389","democrat","n","y","y","y","y","y","n","n","n","n","n","y","y","y","n","?"
"390","democrat","y","n","y","n","n","n","y","y","y","?","y","n","n","n","y","?"
"391","democrat","?","?","n","n","?","y","?","n","n","n","y","y","n","y","n","?"
"392","democrat","y","y","n","n","n","n","n","y","y","n","y","n","n","n","y","n"
"393","republican","y","y","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
"394","republican","?","?","?","?","n","y","n","y","y","n","n","y","y","n","n","?"
"395","democrat","y","y","?","?","?","y","n","n","n","n","y","n","y","n","n","y"
"396","democrat","y","y","y","?","n","n","n","y","n","n","y","?","n","n","y","y"
"397","democrat","y","y","y","n","y","y","n","y","n","n","y","n","y","n","y","y"
"398","democrat","y","y","n","n","y","?","n","n","n","n","y","n","y","y","n","y"
"399","democrat","n","y","y","n","y","y","n","y","n","n","n","n","n","n","n","y"
"400","republican","n","y","n","y","?","y","n","n","n","y","n","y","y","y","n","n"
"401","republican","n","y","n","y","y","y","n","?","n","n","?","?","?","y","n","?"
"402","republican","n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","n"
"403","republican","?","n","y","y","n","y","y","y","y","y","n","y","n","y","n","y"
"404","republican","n","y","n","y","y","y","n","n","n","y","n","y","?","y","n","n"
"405","republican","y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"406","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"407","democrat","y","n","y","n","y","y","n","n","y","y","n","n","y","y","n","y"
"408","democrat","n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","n"
"409","democrat","y","n","y","n","n","y","y","y","y","n","n","y","?","y","y","y"
"410","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"411","republican","n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
"412","democrat","y","n","y","n","n","y","y","y","y","y","y","n","n","n","n","y"
"413","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"414","republican","y","y","y","y","y","y","y","y","n","y","?","?","?","y","n","y"
"415","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"416","democrat","n","y","y","n","n","y","y","y","?","y","n","n","n","n","n","y"
"417","republican","y","y","n","y","y","y","n","n","n","y","n","n","y","y","n","y"
"418","democrat","y","y","y","n","n","n","y","y","y","y","y","n","y","n","n","y"
"419","democrat","y","y","y","n","n","n","y","y","n","y","n","n","n","n","n","y"
"420","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"421","republican","y","y","y","y","y","y","y","y","n","y","n","n","y","y","n","y"
"422","democrat","n","y","y","n","y","y","y","y","n","n","y","n","y","n","y","y"
"423","democrat","n","n","y","n","n","y","y","y","y","n","y","n","n","n","y","y"
"424","democrat","n","y","y","n","n","y","y","y","y","n","y","n","n","y","y","y"
"425","democrat","n","y","y","n","n","?","y","y","y","y","y","n","?","y","y","y"
"426","democrat","n","n","y","n","n","n","y","y","n","y","y","n","n","n","y","?"
"427","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"428","republican","n","n","n","y","y","y","y","y","n","y","n","y","y","y","n","y"
"429","democrat","?","?","?","n","n","n","y","y","y","y","n","n","y","n","y","y"
"430","democrat","y","n","y","n","?","n","y","y","y","y","n","y","n","?","y","y"
"431","republican","n","n","y","y","y","y","n","n","y","y","n","y","y","y","n","y"
"432","democrat","n","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
"433","republican","n","?","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
"434","republican","n","n","n","y","y","y","?","?","?","?","n","y","y","y","n","y"
"435","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","?","n"
